shipment_id,ship_date,origin_country,destination_country,carrier,mode,weight_kg,volume_cbm,distance_km,num_items,is_hazardous,fuel_price_index,customs_declared_value_usd,promised_transit_days,actual_transit_days,freight_cost_usd
SHP0011331,2024-05-03,GB,US,Expeditors,Sea,944.6,3.04,5502.1,58,0,121.3,44575.17,30,28,1608.93
SHP0012552,2024-11-24,DE,NL,MaerskX,Rail,1299.5,4.03,13594.5,288,0,106.1,55221.79,14,14,3949.66
SHP0017599,2025-01-08,CN,PL,Kuehne+Nagel,Rail,1065.6,4.15,1099.6,281,0,112.8,57397.06,12,12,2601.7
SHP0009185,2025-01-10,DE,FR,Kuehne+Nagel,Air,1265.4,3.24,10371.5,306,0,105.5,69478.4,7,6,1926.35
SHP0014099,2025-03-29,IN,PL,DB Schenker,Rail,1409.8,5.16,2531.9,232,0,102.3,53676.22,11,10,2272.01
SHP0008566,2024-09-17,DE,NL,CMA-CGM,Air,728.5,2.12,8108.2,468,0,92.0,33730.98,6,5,2050.19
SHP0017399,2024-12-31,DE,VN,Expeditors,Rail,2328.4,8.79,6048.1,224,0,79.7,48495.23,13,11,6209.73
SHP0001447,2024-03-29,PL,US,CMA-CGM,Rail,660.8,2.23,11466.7,317,0,93.4,37727.55,18,22,2018.37
SHP0015408,2025-05-27,FR,VN,Expeditors,Sea,612.0,3.64,13876.8,144,0,83.0,22057.61,31,30,1527.31
SHP0012995,2024-08-12,CN,DE,Kuehne+Nagel,Rail,1442.6,4.77,15173.9,199,0,95.0,32427.06,15,15,3084.93
SHP0019364,2024-09-06,FR,CN,Kuehne+Nagel,Air,447.2,1.63,13255.0,496,0,108.7,19997.46,7,6,2627.76
SHP0016242,2024-12-28,NL,TR,DHL-Freight,Air,2704.6,11.83,16328.8,349,0,111.4,84639.93,7,6,5406.94
SHP0015593,2024-05-16,NL,VN,MaerskX,Sea,2000.9,9.89,13748.3,73,0,94.9,52620.25,31,30,3741.63
SHP0011739,2024-03-26,CN,GB,MaerskX,Air,2277.0,6.04,10677.6,391,0,117.6,104719.68,8,8,6449.35
SHP0000663,2025-01-22,DE,CN,DB Schenker,Rail,1089.5,3.77,3572.8,5,0,97.7,18114.23,13,12,2527.84
SHP0019035,2025-02-10,GB,PL,DHL-Freight,Road,1116.3,3.76,9181.5,232,0,93.0,56355.77,8,11,2616.1
SHP0014208,2024-03-11,FR,PL,DB Schenker,Air,4098.7,10.88,2426.9,157,0,94.2,43619.23,4,3,5403.05
SHP0002069,2024-07-23,PL,DE,CMA-CGM,Road,450.5,1.36,18800.9,102,0,101.2,6974.45,11,17,3844.79
SHP0002109,2024-04-25,GB,PL,MaerskX,Air,1712.6,4.32,1039.7,122,0,103.3,59140.36,5,4,3587.08
SHP0004370,2024-11-03,GB,NL,DB Schenker,Rail,2676.4,8.32,14747.8,250,0,107.8,16263.29,16,16,4681.11
SHP0008075,2025-04-25,TR,PL,Kuehne+Nagel,Road,2054.0,8.08,7659.2,315,0,90.6,40790.43,8,9,5577.98
SHP0014391,2024-06-29,PL,IN,Kuehne+Nagel,Rail,3718.6,19.54,13884.6,347,0,101.3,179122.11,13,13,8070.68
SHP0016394,2024-02-17,TR,NL,MaerskX,Road,679.6,1.81,18071.4,65,0,79.4,40115.97,10,9,2411.07
SHP0009570,2025-04-09,CN,DE,MaerskX,Road,1135.5,5.18,3480.2,337,0,111.0,58332.79,6,9,1906.68
SHP0002522,2024-03-27,GB,FR,DHL-Freight,Rail,1507.4,5.01,4063.0,474,0,90.9,75537.35,14,13,2094.55
SHP0012958,2024-11-22,TR,GB,CMA-CGM,Sea,1827.5,5.04,2732.5,308,0,103.4,75184.1,30,34,2340.42
SHP0013310,2025-02-22,PL,GB,MaerskX,Sea,2349.9,7.91,5553.0,267,0,134.3,118717.15,29,28,3054.3
SHP0013054,2025-04-20,FR,GB,DB Schenker,Sea,1946.1,8.21,18556.4,319,0,90.0,32481.97,34,37,5623.29
SHP0008689,2024-04-21,VN,IN,Kuehne+Nagel,Air,585.3,2.15,13567.5,47,0,105.7,8642.96,5,4,2759.98
SHP0019273,2024-11-12,IN,CN,CMA-CGM,Air,2287.9,10.21,10241.7,396,0,113.7,68955.13,7,10,4271.37
SHP0007128,2025-01-27,US,IN,DB Schenker,Road,501.6,1.93,10470.6,260,0,92.5,20592.07,10,10,2006.49
SHP0017541,2024-06-22,FR,VN,DB Schenker,Rail,1776.6,11.61,16619.3,230,0,101.7,33588.1,15,14,4030.47
SHP0013847,2024-02-08,US,PL,CMA-CGM,Air,660.9,2.02,7938.3,223,0,88.4,32541.82,6,5,2173.65
SHP0009834,2025-02-01,DE,IN,MaerskX,Rail,1089.6,6.41,423.5,256,0,87.9,25255.22,14,13,1069.55
SHP0008081,2025-06-13,US,VN,DB Schenker,Road,3872.6,11.8,5859.2,159,0,114.4,34926.76,6,6,5706.06
SHP0003635,2024-07-26,NL,PL,Expeditors,Rail,802.4,5.14,2767.0,463,0,114.5,24585.34,14,13,2088.92
SHP0005912,2025-05-14,DE,PL,Kuehne+Nagel,Sea,4188.9,18.77,9513.9,11,0,110.6,134623.9,30,29,10328.76
SHP0015139,2024-04-25,DE,FR,Expeditors,Road,1392.1,4.85,11182.7,150,0,110.0,25765.32,10,10,4425.9
SHP0002281,2025-01-19,DE,IN,Expeditors,Rail,2108.1,6.04,14468.4,183,1,105.8,102692.7,16,15,4837.25
SHP0013515,2024-12-09,PL,IN,Kuehne+Nagel,Air,627.4,1.61,10920.1,342,0,101.1,25807.26,7,6,2221.9
SHP0011684,2025-05-01,GB,DE,CMA-CGM,Air,1597.0,5.95,14507.2,383,0,119.1,29305.94,8,10,3333.62
SHP0000871,2024-10-06,TR,FR,Kuehne+Nagel,Air,2231.1,7.56,11739.9,305,0,93.0,90765.55,5,4,4265.16
SHP0003376,2024-03-20,US,TR,Expeditors,Sea,3398.6,17.42,14704.7,472,0,112.3,199417.89,32,30,6573.85
SHP0009635,2024-08-09,GB,VN,DB Schenker,Rail,1085.5,4.56,3209.5,41,0,106.3,59755.19,12,12,2218.35
SHP0006153,2024-04-05,FR,NL,DHL-Freight,Sea,1677.4,4.55,1238.0,119,0,89.4,62239.61,27,34,3690.77
SHP0007794,2024-01-02,CN,DE,CMA-CGM,Sea,1439.1,9.42,9546.0,303,0,91.5,61697.55,29,27,3415.33
SHP0000440,2024-09-03,VN,DE,DB Schenker,Air,2775.0,7.44,15599.4,185,0,115.3,30239.16,8,8,7101.53
SHP0009089,2024-04-29,VN,GB,Expeditors,Rail,242.6,1.25,9140.1,84,0,102.2,3968.86,14,14,1665.01
SHP0018106,2025-05-02,TR,FR,DHL-Freight,Rail,1846.9,12.15,3115.4,9,0,92.9,99957.19,14,13,3489.57
SHP0005019,2024-06-13,DE,FR,CMA-CGM,Road,973.7,6.35,11017.1,391,0,99.9,57801.87,10,10,2156.11
SHP0018143,2024-04-01,FR,US,DHL-Freight,Rail,4446.8,14.19,18724.7,462,0,114.7,259762.19,18,18,7795.38
SHP0000971,2024-11-29,US,IN,DB Schenker,Rail,134.3,0.57,15014.9,215,0,95.9,4634.75,15,14,2784.67
SHP0015447,2024-08-11,TR,US,MaerskX,Rail,853.4,4.2,9083.6,7,0,92.4,45360.65,14,16,2408.95
SHP0014020,2024-10-31,CN,US,Kuehne+Nagel,Rail,519.0,1.47,4276.4,119,0,90.9,2158.3,14,14,1186.05
SHP0013088,2024-05-15,US,DE,CMA-CGM,Rail,2374.8,8.93,3538.9,229,0,117.4,87845.47,14,19,4110.97
SHP0013677,2025-01-20,FR,IN,CMA-CGM,Sea,2374.3,13.9,12210.7,252,1,94.3,62553.01,30,29,7254.84
SHP0011407,2025-06-02,GB,TR,Kuehne+Nagel,Air,2105.3,6.8,7332.3,233,0,102.3,103946.79,6,6,4568.14
SHP0012323,2024-08-31,PL,DE,Expeditors,Rail,2520.4,14.42,3519.0,472,0,97.7,97828.25,11,10,4437.22
SHP0018283,2024-03-21,NL,IN,MaerskX,Rail,1698.9,4.74,2315.3,496,0,97.5,96930.27,13,16,2171.05
SHP0010008,2025-01-05,TR,NL,DHL-Freight,Air,2196.5,12.2,10111.7,412,0,113.9,61672.48,8,7,3519.94
SHP0013437,2024-11-28,GB,US,MaerskX,Rail,1074.6,3.46,898.0,270,0,96.9,64305.84,12,11,1100.72
SHP0002731,2025-03-23,IN,FR,DB Schenker,Road,2540.6,12.69,17700.7,444,0,107.0,72196.45,11,11,3701.0
SHP0017452,2024-09-11,GB,FR,Kuehne+Nagel,Rail,1226.5,3.69,4175.7,248,0,98.2,11908.26,12,11,1876.3
SHP0018724,2024-10-02,PL,US,DB Schenker,Air,1127.5,4.6,3604.4,16,0,108.4,9812.07,4,3,2474.46
SHP0007722,2025-06-11,DE,US,DB Schenker,Rail,1630.7,4.66,9994.4,181,0,98.6,37445.03,14,13,3148.39
SHP0008347,2024-05-25,VN,TR,Expeditors,Air,581.1,2.54,16051.3,344,0,86.4,9607.33,7,6,1398.05
SHP0017088,2025-05-10,CN,DE,MaerskX,Sea,861.4,2.31,1314.3,19,0,105.8,16458.24,29,27,1698.48
SHP0015142,2025-03-30,CN,TR,Kuehne+Nagel,Rail,398.5,2.18,5626.3,143,0,117.0,5945.27,12,12,1071.84
SHP0000646,2025-04-22,DE,IN,CMA-CGM,Sea,728.9,4.82,7771.7,48,0,94.7,24703.74,28,31,1976.23
SHP0002099,2025-05-25,FR,TR,Kuehne+Nagel,Rail,502.4,1.85,688.3,145,0,99.0,29918.87,10,9,959.07
SHP0011456,2025-04-22,PL,VN,Expeditors,Rail,627.7,2.45,1272.2,358,0,117.4,28316.31,13,13,1026.11
SHP0010673,2024-09-15,TR,DE,MaerskX,Road,780.9,2.15,13293.6,253,0,120.4,7270.1,9,9,3263.59
SHP0007994,2024-01-23,NL,PL,Expeditors,Sea,646.7,3.55,10629.9,14,0,111.1,5736.66,29,29,1603.52
SHP0014667,2024-07-24,CN,VN,DHL-Freight,Sea,1352.6,4.29,16952.7,51,1,90.2,65490.58,33,32,3927.52
SHP0011932,2024-01-12,TR,FR,CMA-CGM,Air,2022.1,5.15,5897.6,292,0,112.3,42145.74,5,10,4069.99
SHP0011607,2024-09-10,PL,TR,DB Schenker,Rail,4754.4,16.78,10357.0,103,0,106.7,114671.72,14,19,8722.53
SHP0019963,2024-04-03,NL,TR,CMA-CGM,Air,,5.45,9465.3,317,0,113.7,19044.29,8,13,1984.08
SHP0014932,2024-09-06,FR,PL,CMA-CGM,Rail,2884.5,8.28,2995.4,213,0,103.6,149947.83,13,11,2910.79
SHP0000599,2025-01-28,VN,FR,Kuehne+Nagel,Rail,1157.5,3.52,13956.4,470,0,110.7,57210.34,15,14,3326.7
SHP0019487,2024-04-23,GB,VN,Expeditors,Air,6400.8,29.35,1735.9,190,0,85.1,146913.88,4,3,12836.47
SHP0004221,2025-06-07,IN,VN,DHL-Freight,Sea,276.9,0.74,15990.2,474,0,80.6,15616.47,32,32,3200.77
SHP0014709,2024-10-17,FR,IN,Expeditors,Sea,998.1,3.3,4049.7,185,0,93.0,58889.26,29,28,1727.64
SHP0010452,2024-10-19,NL,US,Expeditors,Rail,358.0,1.93,12110.5,402,0,97.5,2524.24,16,21,1487.67
SHP0010170,2024-06-23,NL,DE,CMA-CGM,Rail,3440.8,17.9,10498.3,28,0,95.6,144908.47,15,15,4459.06
SHP0006832,2024-01-11,GB,US,DHL-Freight,Sea,892.9,4.78,10912.5,211,0,124.4,16714.89,31,30,2520.61
SHP0004989,2024-08-11,DE,TR,DHL-Freight,Rail,1971.4,6.44,12403.6,203,0,122.7,56050.07,15,22,3766.02
SHP0016107,2025-03-11,DE,NL,CMA-CGM,Road,1929.0,5.23,7490.4,30,0,122.9,21083.07,8,7,4708.88
SHP0002768,2024-05-12,VN,DE,DB Schenker,Sea,622.2,1.81,14026.0,339,0,82.6,16679.56,31,30,2975.64
SHP0004308,2025-03-03,DE,FR,DB Schenker,Air,912.6,4.79,6588.9,179,0,102.0,31644.05,5,5,2202.61
SHP0011019,2025-03-25,TR,NL,MaerskX,Air,596.0,1.75,16093.5,193,0,94.8,33363.16,9,8,2057.73
SHP0013799,2024-02-12,GB,US,CMA-CGM,Road,5052.0,18.43,14020.4,390,0,110.9,94276.36,11,10,11953.41
SHP0008091,2024-06-13,PL,US,DHL-Freight,Rail,996.0,6.18,6276.2,88,0,104.9,53332.78,13,13,1731.25
SHP0005562,2024-10-14,TR,NL,DB Schenker,Road,2901.8,11.45,17962.5,155,0,99.9,25347.8,10,12,7781.78
SHP0011536,2025-03-28,FR,DE,DHL-Freight,Road,252.4,0.74,14349.3,395,1,95.8,1696.28,7,12,2065.11
SHP0012793,2025-04-23,CN,VN,Kuehne+Nagel,Road,1088.1,4.1,17140.7,307,0,93.8,57660.96,10,9,3054.86
SHP0016939,2024-07-23,VN,TR,Expeditors,Air,128.2,0.57,17616.2,431,0,94.1,4193.49,8,7,3138.75
SHP0013620,2024-11-21,TR,GB,Expeditors,Air,1518.1,9.14,13260.4,396,0,88.7,50871.97,8,7,2717.86
SHP0009013,2025-04-23,NL,CN,DHL-Freight,Road,3470.9,14.52,3145.1,165,0,96.1,137004.57,5,4,5100.36
SHP0008951,2025-03-23,IN,PL,Kuehne+Nagel,Air,1351.4,4.18,768.8,53,0,106.7,35191.65,4,3,2642.32
SHP0001791,2025-06-18,IN,US,Kuehne+Nagel,Road,3596.6,9.08,10707.0,252,0,80.1,176200.62,8,8,7419.57
SHP0007963,2024-03-29,FR,DE,DHL-Freight,Road,2066.9,11.09,6907.6,357,0,108.7,92501.6,7,5,2977.64
SHP0011581,2024-03-11,VN,GB,Expeditors,Rail,1673.8,8.42,8120.0,176,1,88.4,61980.59,13,12,5096.02
SHP0012885,2024-02-09,US,VN,DHL-Freight,Air,909.2,2.59,5409.9,315,0,92.7,52979.3,4,4,2290.9
SHP0014316,2024-07-11,GB,CN,DHL-Freight,Sea,948.6,2.55,15403.7,55,0,90.2,21781.06,31,31,3196.28
SHP0017040,2025-02-25,VN,FR,DB Schenker,Sea,866.2,2.48,12946.1,418,0,108.5,29392.95,30,29,3354.21
SHP0007159,2024-07-30,US,VN,MaerskX,Air,1646.0,8.43,1365.9,8,0,120.7,23991.65,5,4,3379.77
SHP0001165,2024-12-08,CN,DE,CMA-CGM,Road,6392.1,17.64,11261.2,382,0,110.1,176481.74,8,7,8429.45
SHP0015260,2025-03-05,NL,TR,DHL-Freight,Rail,1170.5,6.04,16185.4,295,1,106.3,41959.55,17,17,4424.7
SHP0012269,2025-05-10,NL,IN,CMA-CGM,Rail,173.4,0.49,17534.3,40,0,97.3,5377.11,18,17,1714.19
SHP0008248,2024-09-26,DE,VN,DHL-Freight,Road,278.9,1.35,2353.6,317,0,97.3,9481.87,6,6,712.21
SHP0018546,2025-02-08,VN,FR,Kuehne+Nagel,Rail,2151.0,8.74,10408.4,385,0,136.8,14427.69,14,14,3614.73
SHP0015985,2025-04-27,IN,FR,CMA-CGM,Sea,5741.5,20.47,6007.4,168,1,114.2,300921.74,29,35,11620.7
SHP0019991,2025-04-02,IN,CN,Kuehne+Nagel,Rail,1369.8,3.91,687.4,193,0,107.6,48105.15,12,11,1886.86
SHP0019077,2024-07-19,VN,GB,DB Schenker,Sea,215.8,0.88,12824.2,357,0,83.5,3396.9,30,36,2091.03
SHP0007041,2025-04-07,GB,CN,DHL-Freight,Road,303.3,1.29,15415.2,457,0,120.3,17172.01,9,8,2966.4
SHP0016862,2024-04-14,FR,DE,Expeditors,Sea,934.5,2.63,7496.0,321,0,107.9,38997.24,30,29,2411.83
SHP0007780,2025-04-13,PL,VN,MaerskX,Rail,588.4,1.56,951.0,494,0,107.1,6506.81,11,11,722.01
SHP0003667,2024-03-25,DE,GB,MaerskX,Rail,2963.2,9.03,14753.0,401,0,115.7,154407.32,16,15,7778.72
SHP0017090,2024-07-08,DE,FR,MaerskX,Road,2011.5,5.13,4850.1,23,0,125.6,29072.69,7,5,2735.83
SHP0004165,2025-01-31,PL,NL,MaerskX,Sea,2116.6,5.74,1681.7,83,0,114.9,56907.2,29,28,4273.25
SHP0014804,2024-05-14,DE,GB,MaerskX,Rail,1447.5,7.62,3109.2,156,0,92.6,39945.38,14,13,1880.88
SHP0008681,2024-02-28,CN,TR,Expeditors,Road,980.7,3.45,12846.9,406,0,100.4,44907.37,10,12,3168.39
SHP0007891,2024-11-24,CN,TR,DHL-Freight,Rail,1114.6,4.23,6614.3,222,1,117.0,60099.33,13,13,2977.74
SHP0010400,2025-06-14,VN,PL,Expeditors,Rail,692.1,1.84,5404.9,342,0,87.6,27767.45,13,12,2355.48
SHP0009874,2024-09-22,NL,IN,Kuehne+Nagel,Air,2086.3,6.29,6336.0,474,0,106.9,119162.37,7,7,5153.65
SHP0005511,2025-02-18,DE,FR,DHL-Freight,Road,3412.2,21.71,15840.4,312,0,97.4,63874.6,11,16,6199.23
SHP0015096,2024-12-12,FR,VN,MaerskX,Road,153.5,0.66,14402.6,317,1,105.1,6799.8,9,7,1505.89
SHP0009395,2024-12-15,TR,CN,Expeditors,Road,2149.0,9.67,14208.9,52,0,112.0,114837.43,10,9,4422.8
SHP0009229,2024-04-11,VN,TR,CMA-CGM,Sea,844.1,3.44,11490.7,390,0,98.8,8194.93,32,38,2490.64
SHP0004517,2024-02-10,DE,CN,MaerskX,Rail,2954.8,19.0,12605.3,403,1,111.7,164078.13,14,13,7109.63
SHP0009463,2024-04-10,CN,VN,Expeditors,Road,1613.0,4.46,17116.3,314,0,89.6,62487.83,9,8,3331.84
SHP0009598,2024-02-11,DE,FR,CMA-CGM,Rail,1117.9,5.19,1698.2,449,0,108.2,28209.99,13,11,1483.39
SHP0010630,2024-12-24,IN,GB,DB Schenker,Air,2505.6,7.85,13789.5,177,0,69.3,28383.73,6,6,4868.4
SHP0004274,2025-02-21,NL,US,DB Schenker,Road,618.3,2.92,16797.2,336,0,117.0,5404.67,12,11,1994.36
SHP0014776,2024-02-03,DE,NL,Expeditors,Road,633.5,2.45,13464.8,58,0,105.6,3251.87,9,8,3113.7
SHP0019022,2024-02-27,US,IN,Expeditors,Road,108.2,0.31,3758.2,16,0,100.1,3423.8,6,6,733.07
SHP0007744,2025-01-23,PL,US,Expeditors,Air,3540.0,11.43,676.2,159,0,83.9,143676.29,5,5,4256.13
SHP0006336,2025-04-16,FR,DE,DHL-Freight,Sea,74.0,0.23,4690.1,490,0,108.6,4000.42,30,30,542.98
SHP0007136,2024-03-30,GB,CN,Kuehne+Nagel,Air,2566.6,7.4,9958.8,408,0,93.4,87458.5,7,7,5789.64
SHP0005768,2025-05-07,CN,IN,Expeditors,Rail,2108.4,7.39,7761.9,426,0,129.1,49984.02,14,13,2867.92
SHP0011789,2025-05-30,NL,DE,DB Schenker,Rail,753.5,4.26,1126.1,461,0,114.7,33707.37,12,10,1006.38
SHP0011856,2024-11-29,IN,US,Kuehne+Nagel,Sea,2130.4,11.89,2255.5,28,0,95.8,74290.71,30,30,4194.24
SHP0010776,2024-01-19,IN,GB,Kuehne+Nagel,Road,2033.7,11.38,13576.8,65,0,111.2,36074.33,10,9,3777.07
SHP0005566,2024-07-05,NL,IN,DHL-Freight,Road,3302.6,20.94,6628.3,416,0,128.9,188859.33,7,6,4648.09
SHP0015198,2025-06-13,TR,CN,Kuehne+Nagel,Sea,2859.1,16.1,15459.1,223,0,110.2,157161.09,33,39,5078.86
SHP0014238,2024-05-19,CN,US,MaerskX,Air,1426.5,4.15,10993.3,347,0,64.0,28220.39,7,10,3449.08
SHP0006051,2025-02-13,PL,TR,DB Schenker,Rail,1403.8,6.81,769.2,115,0,90.6,22301.4,12,12,1459.74
SHP0004206,2024-03-24,US,IN,CMA-CGM,Sea,1285.6,4.24,4488.9,275,0,93.7,19799.67,29,28,1881.29
SHP0014582,2024-04-14,GB,VN,DB Schenker,Rail,552.6,2.63,9892.4,347,0,100.9,11772.47,15,14,2195.05
SHP0001599,2024-09-28,NL,GB,DB Schenker,Rail,332.9,1.17,14053.7,452,0,107.9,11548.72,15,15,2916.28
SHP0009777,2024-02-24,VN,NL,DB Schenker,Air,3814.8,14.43,18639.2,329,0,103.7,126741.13,10,10,10966.67
SHP0017892,2024-02-12,TR,VN,DB Schenker,Road,1081.9,6.59,753.7,239,0,112.3,8224.22,7,6,2244.53
SHP0012987,2024-08-26,DE,NL,Expeditors,Sea,1413.3,8.59,2925.7,450,0,110.6,49149.87,29,27,2275.1
SHP0008898,2024-08-03,FR,IN,MaerskX,Rail,935.8,3.36,5354.5,271,0,87.6,33638.87,14,22,1637.39
SHP0007372,2025-05-17,DE,IN,MaerskX,Sea,4850.4,22.13,6413.8,372,0,83.4,59623.16,28,33,10270.15
SHP0007412,2025-01-08,IN,TR,DB Schenker,Air,1056.2,3.99,8922.9,441,0,124.6,24226.44,6,5,2601.48
SHP0002155,2025-01-05,CN,GB,Kuehne+Nagel,Sea,2633.3,7.39,9923.8,328,0,121.0,42819.1,31,29,5976.27
SHP0003604,2025-03-10,NL,TR,MaerskX,Road,804.0,5.08,3576.9,418,0,131.1,19040.34,5,4,2057.34
SHP0002244,2024-06-17,DE,VN,MaerskX,Air,1015.3,3.22,900.4,353,0,91.9,10573.46,5,5,1251.58
SHP0012169,2025-03-12,NL,VN,MaerskX,Road,262.1,1.06,11411.4,208,0,98.1,4480.59,9,8,1943.1
SHP0014143,2024-02-01,GB,CN,CMA-CGM,Sea,2118.2,8.47,6907.8,425,0,95.9,58010.4,28,30,3770.27
SHP0007735,2025-06-04,PL,DE,DB Schenker,Rail,461.1,1.5,18012.7,152,0,103.9,25015.12,17,16,3774.89
SHP0005828,2024-11-27,TR,NL,DB Schenker,Rail,1266.7,3.25,12288.6,231,0,114.1,27256.06,15,14,4122.97
SHP0009779,2025-06-14,GB,DE,Kuehne+Nagel,Air,1345.2,4.87,11869.1,351,0,91.2,42680.1,7,7,3342.47
SHP0008263,2024-06-20,GB,FR,MaerskX,Rail,1924.3,6.36,2749.5,260,0,96.6,40906.41,14,13,2700.18
SHP0003933,2025-01-19,IN,VN,CMA-CGM,Rail,819.2,3.11,4368.0,1,0,77.1,36407.51,10,14,1267.64
SHP0016979,2024-11-15,US,DE,Kuehne+Nagel,Air,492.3,2.61,18063.1,222,0,89.9,15756.41,10,10,2661.5
SHP0019924,2025-03-29,DE,TR,CMA-CGM,Sea,252.5,0.81,3590.8,156,1,114.4,8619.47,29,33,1183.79
SHP0007198,2024-04-01,IN,PL,Expeditors,Air,1126.9,7.02,4507.5,5,0,109.7,18761.49,8,8,2027.93
SHP0018022,2024-04-04,VN,TR,DB Schenker,Air,2954.7,7.54,2721.0,490,0,97.5,107546.55,7,6,4784.77
SHP0010625,2024-07-16,US,GB,Kuehne+Nagel,Road,1240.2,3.38,9742.3,386,0,108.5,8885.76,10,9,2239.7
SHP0019248,2024-10-20,NL,PL,MaerskX,Road,3150.4,8.6,16584.5,147,0,88.7,51777.42,10,14,8171.19
